,Unnamed: 0,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10,노선번호
76,6027,113000110,광흥창역.서강동주민센터,126.9313858,37.54859595,1144011400,마포구,창전동,58,11,3,153,4,0,1,2,44,18,3,0,4,2191,0.18215845290081095,3.9764065335753176,3717,561781,69299,8761
77,6028,113000111,창전현대홈타운,126.93265120000001,37.550665,1144011400,마포구,창전동,86,9,2,300,3,0,2,3,100,27,7,0,6,2191,0.18215845290081095,3.9764065335753176,3717,37418,38177,8761
78,6029,113000112,창전현대홈타운,126.93219950000001,37.5507125,1144011400,마포구,창전동,98,10,2,285,3,0,2,3,101,25,7,0,6,2191,0.18215845290081095,3.9764065335753176,3717,101320,29957,8761
79,6030,113000113,신촌로터리,126.9348326,37.55402911,1144011000,마포구,노고산동,147,8,3,805,3,0,2,3,255,88,26,0,2,23823,0.3284147718109982,4.5446394505913785,10025,185216,30077,8761
80,8695,118000046,국회의사당,126.91801570000001,37.52938176,1156011000,영등포구,여의도동,11,6,2,390,0,0,1,6,104,18,6,1,0,171415,0.0875004093394898,11.216057056860564,20914,77891,135952,8761
81,8696,118000047,국회의사당역.국민은행,126.9182736,37.5283646,1156011000,영등포구,여의도동,11,6,1,384,0,0,1,3,103,16,6,1,0,171415,0.0875004093394898,11.216057056860564,20914,39918,257375,8761
82,8697,118000048,국회의사당역,126.9173733,37.52807833,1156011000,영등포구,여의도동,11,6,2,387,0,0,1,3,102,16,5,1,0,171415,0.0875004093394898,11.216057056860564,20914,125285,371402,8761
83,8833,118000195,국회의사당,126.9191537,37.53064228,1156011000,영등포구,여의도동,11,7,1,366,0,0,1,8,95,19,6,1,0,171415,0.0875004093394898,11.216057056860564,20914,19906,455742,8761
84,4877,111000043,응암역신사오거리,126.91498940000001,37.59875925,1138010900,은평구,신사동,122,22,3,309,4,1,1,0,69,50,1,0,2,8233,0.11524139424117776,2.873647469458988,33579,191806,625812,8771
85,4878,111000044,신진과학기술고교.이마트은평점,126.91862959999999,37.59953765,1138010700,은평구,응암동,125,13,1,361,3,0,1,0,94,71,0,0,1,17706,0.136672068724719,3.028737598357852,53938,190531,66955,8771
86,4879,111000045,본서부병원,126.92357879999999,37.60055018,1138010700,은평구,응암동,92,15,1,363,2,0,0,0,81,59,1,0,3,17706,0.136672068724719,3.028737598357852,53938,340482,167390,8771
87,4880,111000046,은평세무서,126.926653,37.60122164,1138010700,은평구,응암동,67,21,0,282,2,0,0,0,58,53,3,0,5,17706,0.136672068724719,3.028737598357852,53938,249025,154075,8771
88,4881,111000047,은평구청,126.93029750000001,37.60116167,1138010700,은평구,응암동,67,19,1,207,2,0,1,0,47,37,3,0,5,17706,0.136672068724719,3.028737598357852,53938,294475,678487,8771
89,4956,111000128,구산중학교.구산교회,126.91083359999999,37.608802399999995,1138010500,은평구,구산동,63,17,0,167,9,0,0,0,36,12,0,0,3,6242,0.08883572567783092,3.8939488459139113,22444,385560,32505,8771
90,4957,111000129,시립서북병원세현교회앞,126.9104597,37.60601686,1138010800,은평구,역촌동,60,21,0,205,1,0,0,0,48,19,0,0,3,8796,0.12277081136858163,2.6430288461538463,32310,427373,51329,8771
91,4958,111000130,서울기독대학교입구,126.9102267,37.60203208,1138010800,은평구,역촌동,100,25,2,228,2,0,0,0,55,29,1,0,3,8796,0.12277081136858163,2.6430288461538463,32310,363785,35764,8771
92,4959,111000131,우남교통,126.91012520000001,37.59976667,1138010900,은평구,신사동,82,26,2,208,2,1,1,0,51,37,1,0,2,8233,0.11524139424117776,2.873647469458988,33579,359679,35065,8771
93,4960,111000132,신사동고개.은평지역자활센터,126.9100666,37.59860061,1138010900,은평구,신사동,67,22,2,196,2,1,1,0,50,36,1,0,2,8233,0.11524139424117776,2.873647469458988,33579,268386,204551,8771
94,5083,111000291,녹번역,126.93433710000001,37.60079255,1138010700,은평구,응암동,42,16,1,116,1,0,1,0,25,33,0,0,2,17706,0.136672068724719,3.028737598357852,53938,274899,1424706,8771
