,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10,Label
11163,122000191,역삼초등학교,127.030653,37.49219527,1168010100,강남구,역삼동,264,7,3,768,2,0,0,0,188,133,7,0,5,225357,0.2635548984702652,7.381010087776759,52862,51645,52494,0
11164,122000192,역삼2동주민센터.대림역삼아파트,127.0459927,37.49624526,1168010100,강남구,역삼동,81,8,1,172,2,0,0,0,56,51,4,0,2,225357,0.2635548984702652,7.381010087776759,52862,100755,49355,0
11165,122000193,래미안.그레이튼.아파트,127.0456136,37.49595165,1168010100,강남구,역삼동,74,7,1,180,2,0,0,0,58,49,4,0,2,225357,0.2635548984702652,7.381010087776759,52862,44671,79207,0
11166,122000194,역삼자이아파트,127.044322,37.499811,1168010100,강남구,역삼동,85,7,1,396,3,0,0,0,131,49,8,0,4,225357,0.2635548984702652,7.381010087776759,52862,44627,33374,0
11167,122000195,역삼동성당.역삼자이아파트,127.0437951,37.49987934,1168010100,강남구,역삼동,86,6,1,404,3,0,0,0,134,50,9,0,3,225357,0.2635548984702652,7.381010087776759,52862,17643,121037,0
11168,122000196,역삼동개나리아파트,127.0477691,37.4993813,1168010100,강남구,역삼동,333,12,2,436,4,0,0,0,114,99,4,0,3,225357,0.2635548984702652,7.381010087776759,52862,96417,35181,0
11169,122000197,역삼동개나리아파트,127.0473485,37.49945085,1168010100,강남구,역삼동,255,12,2,381,4,0,0,0,102,90,4,0,3,225357,0.2635548984702652,7.381010087776759,52862,44430,58279,0
11170,122000198,총지사,127.0402858,37.49619328,1168010100,강남구,역삼동,77,4,1,438,0,0,0,0,135,56,7,0,1,225357,0.2635548984702652,7.381010087776759,52862,38054,236190,0
11171,122000199,총지사,127.0408425,37.4966905,1168010100,강남구,역삼동,74,5,1,455,0,0,0,0,148,55,7,0,1,225357,0.2635548984702652,7.381010087776759,52862,32767,38308,0
11172,122000200,영동중앙교회,127.0385755,37.49771852,1168010100,강남구,역삼동,93,2,1,608,0,0,1,0,207,74,8,0,3,225357,0.2635548984702652,7.381010087776759,52862,77426,71630,0
11173,122000201,대한사회복지회,127.038818,37.501137,1168010100,강남구,역삼동,102,5,0,810,0,0,1,0,223,80,9,0,3,225357,0.2635548984702652,7.381010087776759,52862,101308,372621,0
11174,122000202,한국자산신탁.센터필드,127.044247,37.502783,1168010100,강남구,역삼동,78,5,0,709,3,0,2,0,186,93,6,0,2,225357,0.2635548984702652,7.381010087776759,52862,73900,260653,0
11175,122000203,진선여자중고등학교,127.0498725,37.50226486,1168010100,강남구,역삼동,413,9,1,781,3,0,2,0,189,151,3,0,1,225357,0.2635548984702652,7.381010087776759,52862,177932,119200,0
11176,122000204,역삼e-편한세상아파트,127.0512978,37.49925456,1168010100,강남구,역삼동,583,13,4,415,5,0,1,0,106,115,3,0,0,225357,0.2635548984702652,7.381010087776759,52862,104855,110865,0
11177,122000205,한티역,127.0522475,37.49720234,1168010100,강남구,역삼동,520,15,4,248,5,0,1,0,66,93,2,0,1,225357,0.2635548984702652,7.381010087776759,52862,62088,60593,0
11178,122000206,한티역7번출구,127.0513667,37.49589252,1168010100,강남구,역삼동,390,15,4,210,6,0,1,0,56,87,2,0,1,225357,0.2635548984702652,7.381010087776759,52862,621521,119725,0
11179,122000207,역삼중학교.강남세브란스병원,127.0476983,37.49471181,1168010100,강남구,역삼동,99,8,2,116,3,0,1,0,28,56,2,0,1,225357,0.2635548984702652,7.381010087776759,52862,182823,229706,0
11180,122000208,도곡1차아이파크.역삼청소년수련관,127.0417859,37.49280822,1168010100,강남구,역삼동,61,6,0,268,1,0,0,0,82,39,2,0,1,225357,0.2635548984702652,7.381010087776759,52862,181363,251638,0
11181,122000209,총지사,127.0398633,37.49494269,1168010100,강남구,역삼동,82,5,1,398,0,0,0,0,127,43,3,0,1,225357,0.2635548984702652,7.381010087776759,52862,219239,59208,0
11182,122000210,도곡1동주민센터.역삼럭키아파트,127.0390292,37.49158005,1168011800,강남구,도곡동,69,7,1,288,1,0,0,0,81,29,3,1,1,52055,0.0638728773952329,9.300518134715025,36585,195844,292703,0
11183,122000211,도곡1차아이파크.도곡중학교,127.0424021,37.49263498,1168011800,강남구,도곡동,52,5,0,238,1,0,0,0,67,38,3,1,0,52055,0.0638728773952329,9.300518134715025,36585,97663,201967,0
11184,122000212,매봉삼성아파트SK리더스뷰,127.0489607,37.48814495,1168011800,강남구,도곡동,36,1,1,146,3,0,1,1,43,35,3,1,0,52055,0.0638728773952329,9.300518134715025,36585,68870,54855,0
11185,122000213,매봉역양재최의원,127.0445617,37.48616426,1168011800,강남구,도곡동,51,6,1,240,2,0,1,1,70,20,8,1,1,52055,0.0638728773952329,9.300518134715025,36585,78613,173963,0
11186,122000214,양재역말죽거리.강남베드로병원,127.0379686,37.48525104,1168011800,강남구,도곡동,103,8,1,414,3,0,2,0,96,88,6,1,6,52055,0.0638728773952329,9.300518134715025,36585,153481,180466,0
11187,122000215,뱅뱅사거리.구영동중학교,127.0328076,37.48772432,1168011800,강남구,도곡동,115,7,2,528,3,0,1,0,140,100,7,1,4,52055,0.0638728773952329,9.300518134715025,36585,217273,167880,0
11188,122000217,뱅뱅사거리뱅뱅프라자,127.0328764,37.48974728,1168011800,강남구,도곡동,116,7,2,485,4,0,0,0,152,75,4,1,3,52055,0.0638728773952329,9.300518134715025,36585,129597,249250,0
11189,122000218,원불교앞,127.0423551,37.48355818,1165010200,서초구,양재동,72,6,2,456,2,0,0,1,108,30,9,0,2,52897,0.1390147406036628,7.4946160385378295,22602,69080,9598,0
11190,122000219,매봉역,127.044855,37.485917,1168011800,강남구,도곡동,48,6,1,248,2,0,1,2,69,20,6,1,1,52055,0.0638728773952329,9.300518134715025,36585,404852,98332,0
11191,122000220,도곡개포한신아파트,127.04938,37.487972,1168011800,강남구,도곡동,34,1,1,141,3,0,1,1,44,34,3,1,0,52055,0.0638728773952329,9.300518134715025,36585,26666,68340,0
11192,122000221,도곡동개포한신아파트,127.0502898,37.48704685,1168011800,강남구,도곡동,39,2,1,138,3,0,1,1,43,34,2,1,0,52055,0.0638728773952329,9.300518134715025,36585,17024,39511,0
11193,122000222,우성캐릭터빌아파트,127.0508009,37.48700968,1168011800,강남구,도곡동,37,2,2,121,4,0,1,1,37,30,2,1,0,52055,0.0638728773952329,9.300518134715025,36585,46183,12250,0
11194,122000223,군인공제회관,127.0521108,37.48916816,1168011800,강남구,도곡동,32,2,1,105,4,0,2,0,28,33,3,1,0,52055,0.0638728773952329,9.300518134715025,36585,63390,79786,0
11195,122000225,숙명여고,127.0524663,37.4897357,1168011800,강남구,도곡동,33,2,1,104,4,0,2,0,27,33,2,1,0,52055,0.0638728773952329,9.300518134715025,36585,51423,53398,0
11196,122000226,도곡렉슬아파트.강남세브란스병원,127.0481867,37.49443678,1168011800,강남구,도곡동,96,10,2,108,5,0,1,0,26,53,2,1,1,52055,0.0638728773952329,9.300518134715025,36585,119611,128482,0
11197,122000227,한티역6번출구,127.05194,37.495722,1168011800,강남구,도곡동,383,14,3,202,6,0,1,0,55,80,3,1,1,52055,0.0638728773952329,9.300518134715025,36585,21814,142560,0
11198,122000228,도곡렉슬아파트정문,127.0534356,37.49475081,1168011800,강남구,도곡동,356,8,3,171,8,0,3,0,51,83,3,1,1,52055,0.0638728773952329,9.300518134715025,36585,23899,34367,0
11199,122000229,중대부고앞,127.054525,37.492538,1168011800,강남구,도곡동,136,6,3,110,8,0,3,0,39,53,2,1,1,52055,0.0638728773952329,9.300518134715025,36585,4048,61721,0
11200,122000230,구룡중학교앞,127.057243,37.485803,1168010300,강남구,개포동,47,2,1,56,4,0,1,1,16,20,0,0,1,22488,0.09808055303606011,5.416184971098266,29597,3800,53724,0
11201,122000231,개포고등학교앞,127.058605,37.484231,1168010300,강남구,개포동,55,3,1,41,6,0,1,1,9,19,0,0,1,22488,0.09808055303606011,5.416184971098266,29597,39770,115610,0
