호선명,지하철역,역사명,노선명,시,구,동,법정동코드,산존재여부,X좌표,Y좌표,사용월,"06시-07시 승차인원","06시-07시 하차인원","07시-08시 승차인원","07시-08시 하차인원","08시-09시 승차인원","08시-09시 하차인원","09시-10시 승차인원","09시-10시 하차인원"
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202106,8625,9488,21818,18800,31428,42110,22254,37145
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202105,8023,8817,19791,17433,28093,37974,21354,34212
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202104,8276,8495,21378,18388,30394,41199,21507,35867
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202103,7789,7776,21328,18137,29637,41168,20567,34379
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202102,6107,5994,15492,14308,23658,30904,16858,27630
1호선,제기동,제기동,1호선,서울,동대문구,제기동,1123010300,N,127.0346906,37.57819673,202101,6349,5866,15914,15109,24375,32855,16498,27133
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202212,4670,21956,6369,95122,10271,243983,12959,145883
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202211,3914,23272,6392,100450,10554,246340,13060,156591
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202210,4237,22659,6536,91028,10505,225517,13644,143027
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202209,3795,21806,6201,92789,9877,234113,12010,129303
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202208,3765,22971,5801,98968,9571,243599,11798,131015
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202207,3845,23408,5848,101492,9942,244230,12101,134354
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202206,3682,22533,5814,95376,9612,235160,11847,130278
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202205,3832,25179,6045,99671,10054,238641,12218,132019
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202204,3184,22588,5394,90856,9040,210745,10396,114980
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202203,2703,20371,4885,79758,8610,185756,9597,99571
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202202,2452,16771,4071,68967,7357,162640,8423,91675
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202201,2712,19130,4579,84536,8362,201196,9704,115947
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202112,2955,19570,5272,85621,8982,213319,10452,122647
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202111,3158,20401,5614,89885,9209,225883,10921,131732
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202110,2987,18567,5077,76693,8319,185559,9913,112902
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202109,2655,17765,4846,72452,7660,170570,9289,98941
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202108,2818,19672,5069,78825,7714,178759,9593,103040
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202107,2941,22625,5346,86386,7986,196740,10307,112605
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202106,2868,23755,5479,96712,8419,223459,10625,131420
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202105,2910,21124,5243,85214,8107,191633,10249,116681
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202104,2943,22272,5344,96690,8178,214460,10244,123990
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202103,2947,21373,5269,93962,8253,210534,9686,126119
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202102,2303,16893,4223,71723,6764,161487,7909,98800
1호선,종각,종각,1호선,서울,종로구,종로1가,1111012600,N,126.9832397,37.57021404,202101,2578,18288,4413,77560,6631,165202,7997,100421
1호선,종로3가,종로3가,1호선,서울,종로구,종로3가,1111015600,N,126.9920293,37.5704266,202212,3701,12979,5176,23591,8742,68025,13883,64870
1호선,종로3가,종로3가,1호선,서울,종로구,종로3가,1111015600,N,126.9920293,37.5704266,202211,3770,13951,5123,25473,9605,71269,13688,67502
1호선,종로3가,종로3가,1호선,서울,종로구,종로3가,1111015600,N,126.9920293,37.5704266,202210,4065,13620,5288,24619,10205,68144,14664,67280
1호선,종로3가,종로3가,1호선,서울,종로구,종로3가,1111015600,N,126.9920293,37.5704266,202209,3635,12740,4939,24687,9420,68771,12746,63785
1호선,종로3가,종로3가,1호선,서울,종로구,종로3가,1111015600,N,126.9920293,37.5704266,202208,3409,13161,4642,25201,8037,69020,12995,66338
1호선,종로3가,종로3가,1호선,서울,종로구,종로3가,1111015600,N,126.9920293,37.5704266,202207,3683,14100,4852,27161,8784,72982,13446,70690
1호선,종로3가,종로3가,1호선,서울,종로구,종로3가,1111015600,N,126.9920293,37.5704266,202206,3570,14038,4746,25469,8589,68699,13179,65554
1호선,종로3가,종로3가,1호선,서울,종로구,종로3가,1111015600,N,126.9920293,37.5704266,202205,3932,14383,4978,26889,8606,72094,13659,68717
1호선,종로3가,종로3가,1호선,서울,종로구,종로3가,1111015600,N,126.9920293,37.5704266,202204,3011,12611,4539,24627,7750,66275,12153,64464
1호선,종로3가,종로3가,1호선,서울,종로구,종로3가,1111015600,N,126.9920293,37.5704266,202203,2584,11667,3926,22306,6868,63417,11081,59840
1호선,종로3가,종로3가,1호선,서울,종로구,종로3가,1111015600,N,126.9920293,37.5704266,202202,2126,9604,3181,18344,5379,55187,9551,55435
1호선,종로3가,종로3가,1호선,서울,종로구,종로3가,1111015600,N,126.9920293,37.5704266,202201,2416,10706,3664,20452,6359,64067,11039,63900
1호선,종로3가,종로3가,1호선,서울,종로구,종로3가,1111015600,N,126.9920293,37.5704266,202112,3067,11938,4219,22754,7395,68130,11048,64973
1호선,종로3가,종로3가,1호선,서울,종로구,종로3가,1111015600,N,126.9920293,37.5704266,202111,3328,12386,4372,22852,8154,66753,11130,67243
