adm_cd,adm_nm,tot_family,tot_ppltn,corp_cnt,employee_cnt,population_code_15to64,household_cnt_family,household_cnt_alone
11070600,상봉2동,10267,18875,3266,9845,14941,4636,5309
11070610,중화1동,8117,19227,1328,4265,14039,5625,2353
11070620,중화2동,12182,24331,2379,6435,18178,6506,5455
11070640,묵1동,13560,33623,2091,6289,24364,9623,3741
11070650,묵2동,8356,18526,1812,4639,13527,5156,3049
11070680,망우3동,7359,16279,1300,3776,11890,4575,2695
11070690,신내1동,13645,38243,2396,12376,26480,11085,2425
11070700,신내2동,8454,20391,1294,6263,14398,6058,2273
11070710,면목본동,15626,32632,3119,7591,24574,9004,6360
11070720,면목제3.8동,11263,24151,2538,7641,17862,6760,4347
11070730,망우본동,12861,28651,3552,12193,20769,7941,4735
11080580,돈암1동,5814,14462,525,2058,10472,4335,1388
11080590,돈암2동,8111,23085,761,2824,16503,6817,1188
11080600,안암동,9264,16323,1839,10970,13598,3012,5964
11080610,보문동,7147,15623,1637,6150,11714,3929,3011
11080620,정릉1동,7045,18079,1094,2511,12873,5114,1816
11080630,정릉2동,8957,22438,1224,3432,15905,6501,2284
11080640,정릉3동,7188,15637,906,5430,11593,3673,3255
11080650,정릉4동,9865,24403,1280,4462,17350,7047,2659
11080660,길음1동,11850,34505,1380,4355,23779,10016,1721
11080680,길음2동,6401,16348,1614,5508,11795,4614,1666
11080710,월곡1동,9989,25664,1661,5643,17900,7431,2454
11080720,월곡2동,8962,19409,2039,9763,14170,5041,3767
11080760,장위1동,8056,18942,1235,2737,14029,5388,2487
11080770,장위2동,5870,13293,1458,3802,9299,3741,2030
11080780,장위3동,6759,16802,885,2593,12131,4814,1839
11080810,성북동,7285,15596,1806,6667,11573,4102,2945
11080820,삼선동,10777,22779,2501,10291,17193,5729,4790
11080830,동선동,8633,15076,2661,11910,12139,3152,5186
11080840,종암동,16268,38593,2559,8703,27887,10429,5568
11080850,석관동,15419,34353,2739,9088,24876,9650,5492
11090600,번1동,9248,18100,2453,9953,13502,4635,4380
11090610,번2동,6986,15613,702,3580,10704,4609,2250
11090620,번3동,7142,16748,776,5124,10791,5077,2002
11090630,수유1동,9166,19925,1902,5603,14222,5485,3467
11090640,수유2동,8720,20191,1682,4653,14077,5926,2674
11090650,수유3동,11500,22142,3209,9212,16607,5591,5632
11090690,삼양동,9825,22971,1355,4981,16415,6624,3023
11090700,미아동,10522,21256,2234,7016,15542,5498,4807
11090710,송중동,12647,28593,2924,8639,20582,7907,4548
11090720,송천동,11934,26057,2561,8183,18436,7238,4508
11090730,삼각산동,11035,30525,1169,2780,21455,8923,2021
11090740,우이동,8286,19668,1362,5241,13496,5707,2436
11090750,인수동,12794,29824,1958,6179,20580,8596,3937
11100510,쌍문1동,8698,21314,1146,4356,15081,6069,2489
11100520,쌍문2동,7935,18391,1503,5657,13149,5329,2457
11100530,쌍문3동,7363,16102,1255,4199,11659,4478,2761
11100540,쌍문4동,6768,18266,743,2254,13329,5471,1238
11100550,방학1동,11541,27435,2783,13497,19539,7859,3502
11100560,방학2동,8473,19076,1421,3418,13561,5542,2768
11100570,방학3동,9537,26808,1080,3431,18678,8057,1399
11100590,창1동,10103,24003,1443,3570,17185,7009,2919
11100600,창2동,11418,28379,1707,4788,20721,8313,2889
11100610,창3동,5919,13614,1105,2467,9609,3930,1901
11100620,창4동,9984,25761,1723,7665,18941,7585,2256
11100630,창5동,9554,24051,1881,7134,17593,7048,2347
11100640,도봉1동,9137,20282,1971,5776,13541,5954,3023
11100650,도봉2동,10932,26431,1701,7104,18006,7836,2935
11110510,월계1동,9576,22135,1758,6732,16008,5905,3440
11110520,월계2동,11385,26295,954,3442,18178,7727,3531
11110530,월계3동,12265,29117,1111,4192,20315,8742,3359
11110560,공릉2동,15508,39135,2257,12587,29377,10474,4783
11110580,하계1동,10616,26578,1495,8126,20078,7215,3265
11110590,하계2동,7924,21670,573,1443,15776,6385,1481
11110600,중계본동,7869,23654,1487,5468,17621,6674,1105
11110610,중계1동,8642,26200,1257,4268,19244,7539,1070
11110640,중계4동,7865,19822,1202,3965,13773,5692,2081
