NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10
103900213,성수사거리,127.0623949,37.54237854,1120011500,성동구,성수동2가,33,4,0,410,3,0,0,2,135,23,5,0,0,80717,0.19271761805423857,6.700730532956999,20000,3081,25488
103900214,성수사거리,127.062548,37.54278125,1120011500,성동구,성수동2가,32,4,0,414,2,0,0,2,137,24,5,0,0,80717,0.19271761805423857,6.700730532956999,20000,17053,40301
103900215,성수역4번출구,127.0550046,37.54461964,1120011500,성동구,성수동2가,35,7,2,571,1,0,1,4,194,38,13,0,3,80717,0.19271761805423857,6.700730532956999,20000,10784,37815
103900216,논골.대림아파트107동.금호동벽산아파트,127.0249544,37.5558964,1120010700,성동구,행당동,71,25,2,122,4,0,2,1,37,42,0,0,6,16110,0.14330225421928477,5.059673366834171,31696,676,9339
103900217,옥수역5.6번출구,127.0168963,37.54180122,1120011300,성동구,옥수동,60,16,0,127,2,0,2,0,27,28,0,0,2,4700,0.09718327033288623,3.418181818181818,17695,35534,903
103900218,옥수역2번출구,127.0176125,37.54181185,1120011300,성동구,옥수동,50,15,0,115,3,0,2,0,25,27,0,0,2,4700,0.09718327033288623,3.418181818181818,17695,40577,192534
103900219,서울숲푸르지오아파트,127.0238466,37.54508714,1120011200,성동구,금호동4가,26,13,0,208,1,0,0,0,29,34,0,0,2,2281,0.11824668705402651,2.4553283100107643,9753,34456,11820
103900233,성수역3번출구,127.0566907,37.54355983,1120011500,성동구,성수동2가,27,6,2,551,2,0,1,4,191,37,13,0,1,80717,0.19271761805423857,6.700730532956999,20000,37922,3431
103900235,한라시그마밸리,127.0551786,37.53990607,1120011500,성동구,성수동2가,39,8,0,547,4,0,0,2,161,34,13,0,4,80717,0.19271761805423857,6.700730532956999,20000,3306,26678
103900236,서울경찰청제6기동단,127.0549211,37.53998716,1120011500,성동구,성수동2가,39,8,0,551,4,0,0,2,165,34,12,0,4,80717,0.19271761805423857,6.700730532956999,20000,1209,3843
103900242,서울숲9번출입구,127.0374144,37.54380089,1120011400,성동구,성수동1가,2,0,0,33,2,0,0,8,35,0,3,0,0,37002,0.17301353531103164,4.998243955153316,22118,89,769
103900243,성수대교북단교차로,127.0354231,37.54432464,1120011400,성동구,성수동1가,0,0,0,2,2,0,0,6,4,0,1,0,0,37002,0.17301353531103164,4.998243955153316,22118,92,824
103900244,옥수파크힐스아파트,127.0127367,37.54709718,1120011300,성동구,옥수동,53,15,2,80,3,0,1,1,21,30,0,0,2,4700,0.09718327033288623,3.418181818181818,17695,11573,7615
103900245,옥수파크힐스아파트,127.0129378,37.54732685,1120011300,성동구,옥수동,46,16,2,68,3,0,1,1,20,29,0,0,2,4700,0.09718327033288623,3.418181818181818,17695,9242,5952
