NODE_ID,ARS_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,행정동코드,행정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,public_office_cnt
122000718,23150,고속철도수서역,127.1044467,37.4850481,1168011500,강남구,수서동,1168075000,수서동,8,4,2,211,0,2,1,48,31,0,3
122000719,23405,세곡문화복지관,127.1081157,37.4691406,1168011300,강남구,율현동,1168070000,세곡동,3,4,1,13,0,0,0,10,2,0,3
122000720,23442,세곡2지구3.4단지,127.1098002,37.4767574,1168011200,강남구,자곡동,1168070000,세곡동,14,7,0,40,1,0,0,14,7,2,0
122000721,23912,역삼아르누보&조선팰리스강남,127.042679,37.50327145,1168010100,강남구,역삼동,1168064000,역삼1동,55,7,0,764,1,0,0,185,48,4,2
122000722,23885,언주역삼정&베스트웨스턴강남,127.0310397,37.50613136,1168010100,강남구,역삼동,1168064000,역삼1동,49,8,0,397,1,1,1,153,80,6,0
122000723,23801,코엑스도심공항,127.058892,37.509275,1168010500,강남구,삼성동,1168058000,삼성1동,47,6,0,840,2,1,3,213,87,41,1
122000724,23489,래미안개포루체하임아파트,127.0813369,37.4893482,1168011400,강남구,일원동,1168067500,개포3동,27,7,0,140,5,0,1,28,20,2,1
122000725,23859,봉은사역,127.0631635,37.51486636,1168010500,강남구,삼성동,1168058000,삼성1동,20,5,1,243,1,1,0,77,24,38,2
122000726,23900,강남역,127.0267345,37.50021148,1168010100,강남구,역삼동,1168064000,역삼1동,318,9,2,988,2,3,4,314,472,13,1
122000727,23902,삼정호텔,127.0313097,37.50640233,1168010100,강남구,역삼동,1168064000,역삼1동,45,7,0,361,0,1,1,142,69,5,0
122000728,23904,봉은사.롯데면세점,127.0583371,37.51372735,1168010500,강남구,삼성동,1168058000,삼성1동,18,5,1,415,1,2,1,111,37,40,3
122000729,23908,한류스타거리,127.04335,37.52725187,1168011000,강남구,압구정동,1168054500,압구정동,49,3,0,637,3,1,8,140,167,35,0
122000730,23909,압구정로데오,127.0388063,37.52842606,1168011000,강남구,압구정동,1168054500,압구정동,97,2,2,855,1,1,4,202,149,18,1
122000731,23910,강남관광정보센터,127.0270046,37.52662649,1168011000,강남구,압구정동,1168051000,신사동,271,3,1,454,3,1,0,152,366,23,1
122000732,22941,삼성딜라이트,127.0264935,37.49743288,1165010800,서초구,서초동,1165052000,서초2동,371,4,1,985,3,2,3,260,416,14,1
122000733,23901,르메르디앙호텔.노보텔,127.027832,37.50535775,1168010100,강남구,역삼동,1168064000,역삼1동,80,4,0,821,1,2,1,245,263,6,0
122000734,23903,선릉과정릉.라마다서울호텔,127.0454157,37.5105758,1168010500,강남구,삼성동,1168059000,삼성2동,74,2,0,198,2,2,1,97,31,7,3
122000735,23905,코엑스.에스엠타운,127.061937,37.51045044,1168010500,강남구,삼성동,1168058000,삼성1동,42,4,0,640,1,2,3,182,92,43,5
122000736,23906,삼성역,127.0626911,37.51018882,1168010500,강남구,삼성동,1168058000,삼성1동,39,5,0,537,1,1,3,167,86,39,5
122000737,23907,K-POP엔터테인먼트사,127.0496699,37.52464304,1168010400,강남구,청담동,1168056500,청담동,36,4,0,349,0,0,4,83,64,37,2
122000738,23913,가로수길,127.0230095,37.5245381,1168011000,강남구,압구정동,1168051000,신사동,181,3,1,446,3,0,2,176,267,20,1
122000739,23391,을지병원포포인츠강남&호텔선샤인,127.0288548,37.5201297,1168010700,강남구,신사동,1168054500,압구정동,176,4,1,570,1,0,0,200,224,21,2
122000740,23907,SM엔터테인먼트,127.050776,37.51854566,1168010500,강남구,삼성동,1168058000,삼성1동,69,12,2,135,0,1,0,49,81,9,2
122000741,23816,봉은사역코엑스인터컨티넨탈,127.0570692,37.51357489,1168010500,강남구,삼성동,1168058000,삼성1동,21,6,1,461,1,2,1,124,45,42,3
122000742,23396,삼성서초역삼세무서,127.0297942,37.49841237,1168010100,강남구,역삼동,1168064000,역삼1동,394,5,1,1204,0,2,2,338,390,18,2
122000743,23440,LH수서아파트,127.1059894,37.4773304,1168011200,강남구,자곡동,1168070000,세곡동,12,4,0,56,1,0,0,16,7,3,0
122000744,23441,LH수서아파트,127.1055119,37.47822457,1168011200,강남구,자곡동,1168070000,세곡동,7,1,0,43,1,0,0,12,4,3,0
122900001,23541,상록수아파트후문,127.0820736,37.48279926,1168011400,강남구,일원동,1168072000,일원본동,43,6,2,28,4,1,1,6,17,3,1
122900002,23544,수서역5번출구.이마트앞,127.1026711,37.48678908,1168011500,강남구,수서동,1168075000,수서동,9,9,2,224,3,2,1,49,32,0,3
122900003,23545,개포4복합문화센터.달터공원,127.0496564,37.47655014,1168010300,강남구,개포동,1168069000,개포4동,61,14,0,345,3,0,3,94,33,6,3
122900004,23546,일원역,127.0837488,37.48427409,1168011400,강남구,일원동,1168072000,일원본동,42,7,2,30,5,1,0,7,19,3,1
122900005,23552,삼성서울병원정문,127.0831279,37.48622092,1168011400,강남구,일원동,1168072000,일원본동,26,8,1,98,4,1,1,15,25,3,1
122900006,23558,삼성의료원,127.0843626,37.48808713,1168011400,강남구,일원동,1168072000,일원본동,28,10,1,163,2,1,1,36,40,2,1
122900007,23562,한아름아파트.사이룩스오피스텔,127.1043696,37.48828832,1168011500,강남구,수서동,1168075000,수서동,8,8,2,207,3,2,0,43,31,0,3
122900008,23569,암센터정문,127.0877106,37.48872808,1168011400,강남구,일원동,1168072000,일원본동,14,9,1,116,2,0,0,14,14,0,2
122900009,23574,2호선강남역,127.0272572,37.49926076,1168010100,강남구,역삼동,1168064000,역삼1동,359,7,1,1057,2,2,4,320,439,15,1
122900010,23575,강남교육청,127.0474431,37.51145259,1168010500,강남구,삼성동,1168059000,삼성2동,80,5,1,201,2,2,3,89,35,6,2
122900011,23585,매봉역입구,127.0463624,37.48507774,1168011800,강남구,도곡동,1168065600,도곡2동,34,5,1,224,2,1,2,62,18,6,1
122900012,23598,도성초등학교앞,127.0503203,37.50046426,1168010100,강남구,역삼동,1168065000,역삼2동,494,12,2,578,4,1,0,131,109,1,1
122900013,23599,개포5단지상가,127.0681837,37.48927622,1168010300,강남구,개포동,1168067000,개포2동,60,7,0,88,5,1,2,13,19,1,1
122900014,23815,영희초등학교정문,127.0826658,37.49177024,1168011400,강남구,일원동,1168073000,일원1동,32,12,2,217,4,1,1,47,30,0,3
122900015,23818,코엑스동문,127.0608831,37.51220368,1168010500,강남구,삼성동,1168058000,삼성1동,25,5,1,631,0,2,3,166,78,45,3
122900016,23823,대청초교삼거리,127.0863915,37.49316699,1168011400,강남구,일원동,1168073000,일원1동,21,12,1,133,3,0,0,30,11,0,3
122900017,23857,대치2동주민센터.래미안하이스턴,127.0665042,37.50186559,1168010600,강남구,대치동,1168061000,대치2동,194,6,0,104,2,0,0,32,12,3,1
122900018,23858,봉은사역.삼성래미안아파트,127.0621094,37.51471318,1168010500,강남구,삼성동,1168058000,삼성1동,22,4,1,269,1,1,0,87,25,40,2
122900019,23860,개포시영아파트,127.0556409,37.47893762,1168010300,강남구,개포동,1168069000,개포4동,9,6,1,13,5,0,2,9,8,1,2
122900020,23867,삼성서울병원사거리,127.082692,37.48878576,1168011400,강남구,일원동,1168072000,일원본동,22,4,0,149,4,0,1,31,21,2,1
122900021,23871,수서역,127.0997013,37.48867899,1168011500,강남구,수서동,1168075000,수서동,9,9,2,209,4,2,0,43,31,0,2
122900022,23872,일원1동주민센터,127.087877,37.49173945,1168011400,강남구,일원동,1168073000,일원1동,17,11,1,130,1,0,0,27,13,0,3
122900023,23874,일원지구대,127.084155,37.49256036,1168011400,강남구,일원동,1168073000,일원1동,29,13,2,214,3,1,1,43,30,0,3
122900024,23877,영희초등학교,127.0824081,37.49181728,1168011400,강남구,일원동,1168073000,일원1동,33,13,1,221,3,1,1,47,29,0,2
122900025,23878,삼성서울병원정문건너편,127.0827109,37.48644558,1168011400,강남구,일원동,1168072000,일원본동,27,10,2,105,3,1,1,16,30,3,1
122900026,23880,일원역,127.0834929,37.48396519,1168011400,강남구,일원동,1168072000,일원본동,42,8,2,29,5,1,1,7,18,3,1
122900027,23884,대왕파출소,127.1077414,37.46520256,1168011100,강남구,세곡동,1168070000,세곡동,12,10,2,32,1,0,0,8,5,0,2
122900028,23917,영희초등학교후문,127.0803834,37.49145192,1168011400,강남구,일원동,1168067500,개포3동,43,15,2,190,4,1,1,44,34,0,2
122900029,23920,양재역.종합복지관,127.0362733,37.4846217,1165010200,서초구,양재동,1165065100,양재1동,98,8,1,456,4,2,0,108,92,6,6
122900030,23921,양재역5번출구,127.0366159,37.48467026,1165010200,서초구,양재동,1165065100,양재1동,95,7,1,447,4,2,0,101,92,6,6
122900031,23922,삼성역7번출구,127.0628648,37.50950132,1168010500,강남구,삼성동,1168058000,삼성1동,42,4,0,519,2,1,3,156,85,25,4
122900032,23923,삼성역7번출구,127.062502,37.51015823,1168010500,강남구,삼성동,1168058000,삼성1동,40,5,0,574,1,2,3,173,86,40,5
122900033,23925,역삼2동주민센터.래미안그레이튼아파트,127.0467178,37.49467165,1168010100,강남구,역삼동,1168065000,역삼2동,49,7,0,121,2,0,0,31,42,4,2
122900034,23918,양재역4번출구,127.03684,37.48506487,1168011800,강남구,도곡동,1168065500,도곡1동,98,8,1,443,4,2,0,100,92,7,6
122900035,23532,서울의료원후문,127.0670298,37.51285422,1168010500,강남구,삼성동,1168058000,삼성1동,10,3,0,155,0,0,0,47,8,6,5
122900036,23536,학동역,127.0298909,37.51534748,1168010800,강남구,논현동,1168052100,논현1동,60,3,1,320,0,1,0,137,56,14,4
