NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동_x,academy_cnt,bank_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,RIDE_SUM_6_10,ALIGHT_SUM_6_10,tot_family,tot_ppltn,corp_cnt,employee_cnt,population_code_15to64,household_cnt_family,household_cnt_alone
100000139,동묘역앞,127.0156014,37.57168496,1111017400,종로구,창신동,29,58,8,1,504,4,0,3,7,76,61,1,0,5,14164,58909,8422,18544,4277,9613,13614,5190,2970
100000142,창신3동주민센터,127.015178,37.578413,1111017400,종로구,창신동,27,5,13,1,90,5,0,1,2,27,12,2,0,6,49912,58946,8422,18544,4277,9613,13614,5190,2970
100000157,청계7가.맑은내다리,127.0129554,37.56999753,1111017400,종로구,창신동,15,91,4,2,572,3,0,4,10,142,66,18,0,6,25377,20757,8422,18544,4277,9613,13614,5190,2970
100000158,청계8가.영도교,127.0182311,37.57094659,1111017400,종로구,창신동,24,53,9,2,440,3,0,2,5,80,57,1,0,8,16834,18606,8422,18544,4277,9613,13614,5190,2970
100000164,동대문,127.0123388,37.57182772,1111017400,종로구,창신동,22,76,4,2,522,1,0,4,11,104,65,6,0,7,61645,59815,8422,18544,4277,9613,13614,5190,2970
100900039,낙산공원,127.0087216,37.58040372,1111017400,종로구,창신동,13,11,11,1,142,5,0,0,7,76,1,82,0,3,22196,12849,8422,18544,4277,9613,13614,5190,2970
100900013,창신쌍용2단지.한성대후문,127.0127581,37.5812648,1111017400,종로구,창신동,18,10,13,0,43,6,0,1,4,21,1,1,0,5,90283,909,8422,18544,4277,9613,13614,5190,2970
100900070,명신초.삼선푸르지오.힐스테이트,127.0145563,37.58210621,1111017400,종로구,창신동,25,11,17,1,48,7,0,1,0,25,1,0,0,6,57687,504,8422,18544,4277,9613,13614,5190,2970
100900093,쌍용아파트입구.창신역,127.0149636,37.58051123,1111017400,종로구,창신동,21,8,16,1,54,6,0,1,1,22,4,1,0,5,30234,38671,8422,18544,4277,9613,13614,5190,2970
100900087,이수아파트,127.0151896,37.57835399,1111017400,종로구,창신동,28,5,12,1,90,4,0,1,2,27,12,2,0,6,61645,59815,8422,18544,4277,9613,13614,5190,2970
