,index,Unnamed: 0,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10,Label,gmm_cluster,구-동
458,6980,6980,115000039,가양역.마포중고등학교,126.8542039,37.55892751,1150010200,강서구,등촌동,39,14,2,250,8,0,1,0,68,49,5,0,1,40715,0.1853280263519077,5.898160220194119,54807,246852,476541,0,6,강서구등촌동
459,6981,6981,115000040,가양역.마포중고등학교,126.8541936,37.55955916,1150010200,강서구,등촌동,34,15,2,237,9,0,1,0,59,55,5,0,1,40715,0.1853280263519077,5.898160220194119,54807,321359,250635,0,6,강서구등촌동
460,6982,6982,115000041,경복비즈니스고등학교,126.8534483,37.55752808,1150010200,강서구,등촌동,43,11,3,338,7,0,1,1,88,41,7,0,1,40715,0.1853280263519077,5.898160220194119,54807,180974,473863,0,6,강서구등촌동
461,6983,6983,115000042,경복비즈니스고등학교,126.853122,37.55766284,1150010200,강서구,등촌동,43,11,3,337,7,0,1,1,87,42,7,0,2,40715,0.1853280263519077,5.898160220194119,54807,44463,57087,0,6,강서구등촌동
462,6996,6996,115000055,외발산신광명마을,126.8215259,37.54606458,1150010700,강서구,외발산동,6,2,0,23,2,0,0,0,5,2,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,16052,97318,0,1,강서구외발산동
463,6997,6997,115000056,외발산신광명마을,126.821132,37.545958,1150010700,강서구,외발산동,4,2,0,22,1,0,0,0,5,1,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,15548,34384,0,1,강서구외발산동
464,6998,6998,115000057,강서면허시험장.메이필드호텔,126.819496,37.5496839,1150010700,강서구,외발산동,6,5,0,44,2,0,0,0,7,3,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,50652,141297,0,1,강서구외발산동
465,6999,6999,115000058,강서면허시험장.메이필드호텔,126.8203783,37.54752982,1150010700,강서구,외발산동,6,2,0,23,2,0,0,0,6,2,0,0,0,9301,0.0598147993659798,4.688004032258065,8531,9023,50953,0,1,강서구외발산동
466,7000,7000,115000059,강서농수산물도매시장,126.81998,37.55187,1150010700,강서구,외발산동,6,5,1,62,4,0,0,0,9,2,0,0,1,9301,0.0598147993659798,4.688004032258065,8531,15351,31129,0,1,강서구외발산동
467,7016,7016,115000076,영일고등학교.강서도서관,126.8633554,37.54898858,1150010200,강서구,등촌동,78,19,1,388,2,0,1,1,68,62,0,0,4,40715,0.1853280263519077,5.898160220194119,54807,190075,146786,0,1,강서구등촌동
468,7020,7020,115000080,용문사.시립화곡청소년센터,126.8633458,37.53709721,1150010200,강서구,등촌동,64,20,0,269,3,0,0,1,59,39,0,0,1,40715,0.1853280263519077,5.898160220194119,54807,443899,94441,0,1,강서구등촌동
