,NODE_ID,정류소명,X좌표,Y좌표,법정동코드,법정동_구,법정동,academy_cnt,kindergarten_cnt,mart_cnt,restaurant_cnt,school_cnt,university_cnt,subway_cnt,tour_cnt,cafe_cnt,hospital_cnt,culture_cnt,univ_hospital_cnt,public_office_cnt,employee_cnt,alone_ratio,emp_corp_ratio,population_15to64,RIDE_SUM_6_10,ALIGHT_SUM_6_10
1653,104000062,래미안구의파크스위트,127.0890507,37.54496382,1121510300,광진구,구의동,87,10,2,215,3,0,0,1,63,17,0,0,3,31339,0.15904384195779586,3.8368021547502447,56208,74715,21494
1654,104000063,현대아파트앞,127.0940087,37.5395525,1121510300,광진구,구의동,221,24,4,355,1,0,1,0,72,69,2,0,1,31339,0.15904384195779586,3.8368021547502447,56208,61644,59814
1655,104000064,현대아파트앞,127.0942543,37.53958474,1121510300,광진구,구의동,222,23,4,339,1,0,1,0,64,70,2,0,1,31339,0.15904384195779586,3.8368021547502447,56208,70971,29059
1656,104000065,광진우체국,127.090409,37.537998,1121510300,광진구,구의동,92,15,2,407,1,0,2,0,70,33,2,0,1,31339,0.15904384195779586,3.8368021547502447,56208,12065,54318
1657,104000069,테크노마트앞.강변역,127.0940652,37.53683024,1121510300,광진구,구의동,111,18,3,316,1,0,1,0,70,51,4,0,1,31339,0.15904384195779586,3.8368021547502447,56208,39490,173445
1658,104000070,현대2단지,127.0965438,37.53785446,1121510300,광진구,구의동,170,16,3,270,1,0,1,0,56,61,2,0,1,31339,0.15904384195779586,3.8368021547502447,56208,7251,57173
1659,104000071,올림픽대교북단사거리,127.09321,37.5433927,1121510300,광진구,구의동,201,14,3,216,3,0,0,0,44,46,0,0,2,31339,0.15904384195779586,3.8368021547502447,56208,61707,30867
1660,104000072,올림픽대교북단사거리,127.0936876,37.54338872,1121510400,광진구,광장동,201,17,3,208,2,1,0,0,44,44,0,0,1,11363,0.04468325791855204,5.431644359464627,23929,84355,29886
1661,104000073,광장동현대아파트앞,127.097463,37.54179703,1121510400,광진구,광장동,210,23,3,153,5,1,0,0,32,48,0,0,0,11363,0.04468325791855204,5.431644359464627,23929,17524,1979
1662,104000074,광장동현대아파트앞,127.0990747,37.54201285,1121510400,광진구,광장동,161,20,3,119,5,1,0,0,25,44,0,0,1,11363,0.04468325791855204,5.431644359464627,23929,1837,5081
