NODE_ID,RIDE_SUM_6_10,ALIGHT_SUM_6_10
102000105,26607,40153
102000106,85348,39089
102000107,210797,20227
102000108,61578,30259
102000109,88625,49845
102000110,142032,54952
102000111,11634,73852
102000112,10406,15158
102000113,1992,6146
102000114,119417,40798
102000115,24495,37304
102000116,22564,67254
102000117,7267,90723
102000118,77026,177982
102000119,70088,141269
102000120,27467,52737
102000121,88405,30099
102000122,51421,76018
102000123,84436,48470
102000124,111954,104207
102000125,40612,46336
102000126,45677,74557
102000127,100587,52877
102000128,70052,64341
102000129,74665,42243
102000130,35538,65693
102000131,81840,55311
102000132,33844,68081
102000133,344897,162848
102000134,105784,71807
102000135,62401,70125
102000136,97492,45475
102000137,37299,60012
102000138,23616,25031
102000139,9112,62644
102000140,12817,74034
102000141,18153,62643
102000142,43691,25043
102000143,29829,18897
102000144,35290,17227
102000145,38924,19566
102000146,52046,26797
102000147,44377,31736
102000148,23749,49190
102000149,37672,9786
102000150,69684,5853
102000151,12420,8032
102000152,32038,14487
102000153,75462,57238
102000154,12977,27764
102000155,5491,51367
102000156,21806,15864
102000157,6257,80428
102000158,28496,41678
102000159,137976,108053
102000161,239167,198624
102000162,11953,24260
102000163,13817,38043
102000164,55826,62452
102000165,29197,29145
102000166,8333,32259
102000167,17169,19316
102000168,15876,21895
102000169,11779,50277
102000170,64987,11680
102000171,7621,15501
102000172,1498,40609
102000173,38941,34670
102000174,18308,10168
102000175,8378,6434
102000176,3615,4045
102000178,20799,45692
102000179,43512,27380
102000180,105100,25034
102000181,109495,23562
102000182,67279,57376
102000183,197165,85346
102000184,190472,55736
102000185,274560,58589
102000186,188231,72290
102000187,106619,99136
102000188,138584,130701
102000189,185788,45484
102000190,47891,197104
102000191,85874,27235
102000192,177316,141416
102000193,9654,11373
102000194,3668,29579
102000195,52567,31714
102000196,27569,30469
102000197,122568,13063
102000198,21706,33860
102000199,133282,10551
102000200,33237,39102
102000201,155997,31417
102000202,1197,15309
102000203,65054,15097
102000204,86676,50808
102000205,136160,50418
102000206,69858,33936
102000207,69526,49002
102000208,48392,66510
102000209,9302,12567
102000210,88339,37190
102000211,40965,12698
102000212,57706,747
102000213,945,20767
102000214,59851,615
102000215,658,16825
102000216,16695,12447
102000217,1721,5894
102000218,29533,25304
102000219,17791,9375
102000225,28448,67625
102000226,20482,57460
